"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
discharge_reason_6mo,month_followup_b58d,,dropdown,"What was the reason for discharge?","1, Admitted to MMT BAART Market | 2, Admitted to MMT BAART Turk | 3, Admitted to MMT Bayview | 4, Admitted to MMT Other | 5, Admitted to MMT Van OTOP | 6, Admitted to MMT Westside | 7, Admitted to OBIC | 8, Admitted to OBOT | 9, Admitted to OTOP Maintenance | 10, Completed Detox Program | 11, Completed level of care, but patient refused referral to other service | 12, Completion of Intervention or Treatment service | 13, Deceased | 14, Left against staff advice | 15, No Show Off Program | 16, Other | 17, System Discharge | 18, Terminated by facility | 19, Transferred to another Substance Abuse Agency | 20, Transferred to Medical or Psychiatric facility",,,,,,"[enrollmentstatus_6mo] = '2'",,,,,,
dosedate_6mo,month_followup_b58d,,text,"What was their last dosing day?",,"If client is receiving take home doses, enter date of 6 month follow-up",date_mdy,,,,,,,,,,
mat_6mo,month_followup_b58d,,radio,"What is their most recent MAT received?","1, Methadone | 2, Buprenorphine",,,,,,,,,,,,
recentdose_6mo,month_followup_b58d,,text,"What was their most recent dose (in mg)?",,,,,,,,,,,,,
takehomes_6mo,month_followup_b58d,,radio,"Is the client receiving take home doses?","1, Yes | 2, No",,,,,,,,,,,,
takehomephase_6mo,month_followup_b58d,,dropdown,"What is the take home phase?","1, 0 TH | 2, 1 TH | 3, 120-Day Detox | 4, 13 TH | 5, 180-Day Detox | 6, 2 TH | 7, 27 TH | 8, 3 TH | 9, 30-Day Detox | 10, 4 TH | 11, 5 TH | 12, 6 TH | 13, 60-Day Detox | 14, 90 Day Detox | 15, Detox - Hold Dose | 16, Other Detox | 17, Unknown",,,,,,"[takehomes_6mo] = '1'",,,,,,
takehomeschedule_6mo,month_followup_b58d,,dropdown,"What is the take home schedule type?","1, Multiple Days/Week | 2, Every 7 Days | 3, Every 14 Days | 4, Every 21 Days | 5, Every 28 Days | 6, Every XX Days",,,,,,"[takehomes_6mo] = '1'",,,,,,
uds_6mo,month_followup_b58d,,radio,"Was there a UDS completed in the last 30 days?","1, Yes | 2, No",,,,,,,,,,,,
lastuds_6mo,month_followup_b58d,,text,"Date of last UDS:",,,date_mdy,,,,"[uds_6mo] = '1'",,,,,,
udsresults_6mo,month_followup_b58d,,checkbox,"<div class=""rich-text-field-label""><p>Indicate which of the following were <em>positive</em> on the most recent UDS:</p></div>","1, Methadone | 2, Methadone Metabolite | 3, Amphetamines | 4, Barbiturates | 5, Benzodiazepines | 6, Cocaine | 7, Codeine | 8, Morphine | 9, Hydrocodone | 10, Hydromorphone | 11, Methamphetamines | 12, 6-Acetylmorphine | 13, Oxycodone | 14, Alcohol | 15, Buprenorphine | 16, Fentanyl",,,,,,"[uds_6mo] = '1'",,,,,,
questionnairedescription_12mo,month_followup_f188,,descriptive,"This questionnaire should be filled out 12 months after intake.",,,,,,,,,,,,,
questionnairedate1mo_12mo,month_followup_f188,,text,"Date of questionnaire:",,"Should be 12 months after intake",date_mdy,,,,,,,,,,
enrollmentstatus_12mo,month_followup_f188,,radio,"Is the patient still enrolled at OTOP?","1, Yes | 2, No",,,,,,,,,,,,
dischargedate_12mo,month_followup_f188,,text,"If no, what was their date of discharge?",,,date_mdy,,,,"[enrollmentstatus_12mo] = '2'",,,,,,
discharge_reason_12mo,month_followup_f188,,dropdown,"What was the reason for discharge?","1, Admitted to MMT BAART Market | 2, Admitted to MMT BAART Turk | 3, Admitted to MMT Bayview | 4, Admitted to MMT Other | 5, Admitted to MMT Van OTOP | 6, Admitted to MMT Westside | 7, Admitted to OBIC | 8, Admitted to OBOT | 9, Admitted to OTOP Maintenance | 10, Completed Detox Program | 11, Completed level of care, but patient refused referral to other service | 12, Completion of Intervention or Treatment service | 13, Deceased | 14, Left against staff advice | 15, No Show Off Program | 16, Other | 17, System Discharge | 18, Terminated by facility | 19, Transferred to another Substance Abuse Agency | 20, Transferred to Medical or Psychiatric facility",,,,,,"[enrollmentstatus_12mo] = '2'",,,,,,
dosedate_12mo,month_followup_f188,,text,"What was their last dosing day?",,"If client is receiving take home doses, enter date of 12-month follow-up",date_mdy,,,,,,,,,,
mat_12mo,month_followup_f188,,radio,"What is their most recent MAT received?","1, Methadone | 2, Buprenorphine",,,,,,,,,,,,
recentdose_12mo,month_followup_f188,,text,"What was their most recent dose (in mg)?",,,,,,,,,,,,,
takehomes_12mo,month_followup_f188,,radio,"Is the client receiving take home doses?","1, Yes | 2, No",,,,,,,,,,,,
takehomephase_12mo,month_followup_f188,,dropdown,"What is the take home phase?","1, 0 TH | 2, 1 TH | 3, 120-Day Detox | 4, 13 TH | 5, 180-Day Detox | 6, 2 TH | 7, 27 TH | 8, 3 TH | 9, 30-Day Detox | 10, 4 TH | 11, 5 TH | 12, 6 TH | 13, 60-Day Detox | 14, 90 Day Detox | 15, Detox - Hold Dose | 16, Other Detox | 17, Unknown",,,,,,"[takehomes_12mo] = '1'",,,,,,
takehomeschedule_12mo,month_followup_f188,,dropdown,"What is the take home schedule type?","1, Multiple Days/Week | 2, Every 7 Days | 3, Every 14 Days | 4, Every 21 Days | 5, Every 28 Days | 6, Every XX Days",,,,,,"[takehomes_12mo] = '1'",,,,,,
uds_12mo,month_followup_f188,,radio,"Was there a UDS completed in the last 30 days?","1, Yes | 2, No",,,,,,,,,,,,
lastuds_12mo,month_followup_f188,,text,"Date of last UDS:",,,date_mdy,,,,"[uds_12mo] = '1'",,,,,,
udsresults_12mo,month_followup_f188,,checkbox,"<div class=""rich-text-field-label""><p>Indicate which of the following were <em>positive</em> on the most recent UDS:</p></div>","1, Methadone | 2, Methadone Metabolite | 3, Amphetamines | 4, Barbiturates | 5, Benzodiazepines | 6, Cocaine | 7, Codeine | 8, Morphine | 9, Hydrocodone | 10, Hydromorphone | 11, Methamphetamines | 12, 6-Acetylmorphine | 13, Oxycodone | 14, Alcohol | 15, Buprenorphine | 16, Fentanyl",,,,,,"[uds_12mo] = '1'",,,,,,
